JAWABAN,LABEL_1,LABEL_2
intetraksi/beradaptasi terhadap lingkungan yang baru.,7,7
seperti jatuhnya meteor tsunami gempa bumi,0,0
hanya tuhan yang tahu tantangan nya itu apaan,0,0
mereka akan sulit beradaptasi,7,7
"Tempat tinggal, ekonomi, dan pekerjaan",8,9
akan terganggu dengan kesehatanya karena merekanperlu beradaptasi dengan lingkungan yang baru.,8,8
Mereka tidak akan di hormati oleh orang layaknya mereka di hormati di dalam tempat tinggal mereka yang lama,5,4
mereka akan kehilangan lahan pertanian.,7,7
"Pada kasus-kasus seperti salah satunya yang terjadi di Travina, warga mungkin dipaksa untuk menjadi ""pengungsi iklim”. Pengungsi iklim adalah orang-orang yang terpaksa meninggalkan komunitas atau negaranya karena bencana lingkungan.",6,6
mendapat musibah dan melawannya,1,1
karena mereka butuh tempat tinggal baru,7,7
Akan kehilangan tempat tinggal yang lama atau komunitas karena bencana alam.,8,8
mereka akan pindah ke tempat yang dulu,0,1
beradaptasi,7,7
Pengungsi iklim ini orang-orang yang terpaksa meninggalkan komunitas atau negaranya karena bencana lingkungan.,8,6
karna mereka tidak mau terkena iklim yang sangat beser,1,2
keadaan yg tidak memadai serta kurangnya fasilitas di tempat pengungsian kegiatan jadi tidak dapat dilakukan seperti biasanya maknanya mereka tidak bebas melakukan sesuatu,9,9
Pengungsi iklim adalah orang-orang yang terpaksa meninggalkan komunitas atau negaranya karena bencana lingkungan.,5,4
fkjgrioejtklejtdfljlkgr,0,0
merasa aneh,2,1
satu tantangan yang akan dihadapi pengungsi adalah kehilangan pekerjaan mereka yaitu pekerjaan bertani atau nelayan dan itulah salah satu pencaharian mereka selama menetap di Travina.,10,8
akan terjadinya perubahan tempat,6,6
"karena,akan ada bencana alam yang akan datang",0,0
Mereka perlu adaptasi dan harus rela berpisah dengan tembat lamanya yang kemungkinan lahan tersebut akan hilang,10,10
"tidak terjamin dengan semua kebutuhannya, dan sulit untuk beradaptasi dengan tempat baru",9,9
orang-orang yang trpaksa meninggalkan komunitas atau negaranya karna bercanda lingkungan,6,5
Mereka tidak akan mudah menyesuaikan hidup mereka di tempat baru,7,7
mereka akan kehilangan sebagian besar atau bahkan semua lahan pertanian mereka,7,7
tidak mempunyai tempat yang tetap,6,6
"masalah yang dapatdidapatkan oleh pengngungsi itu adalah penggunaan bahasa, dan pencarian lapangan kerja, tempat tinggal.",10,9
mereka akan kehilangan lahan pertanian sektor pariwisata dan perikanan dan tempat tinggal mereka.,10,10
penderitaan panas nya cuaca iklim,4,3
Warga di Travina akan mengalami bencana yang besar dan disebabkan oleh perubahan iklim .,5,4
"MEREKA AKAN MENINGGALKAN NEGARANYA, DAN MEREKA AKAN MENJADI PUENGUNGSI YANG MEMBUTUHKAN BANTUAN DARI NEGARA LAIN, MEREKA JUGA MEMBUTUHKAN NEGARA MANA YANG HARUS MENJADI PENGUNGSI",5,5
tantanganya adalah mereka harus beradapatsi lagi dengan lingkungan barunya.,7,7
