JAWABAN,LABEL_1,LABEL_2
Karena orang berpikir bahwa jika disumbangkan akan membuat produksi pakaian menjadi lebih beretika,5,6
"Pakaian awet adalah alternatif terhadap Fast Fashion. Pakaian awet lebih mahal biaya produksi dan harga belinya, tetapi karena pakaian itu dibuat untuk bertahan lebih lama, maka yang dibuat pun menjadi lebih sedikit. Kita sebagai konsumen harus menolak tren Fast Fashion dan membeli pakaian yang lebih awet dan dibuat sesuai etika.",1,1
karna orang lebih suka menyumbang,6,7
karana harga nya terjangkau dan pas.,0,0
kerena harganya mahal .,0,0
agar orang yg memerlukan juga bisa mempunyai baju seperti kita,6,7
Karena melihat kondisi para pegawai,6,6
karena dia kasihan,4,3
karena memiliki pakaian yang melebihi atau sudah tidak layak dipakai pribadi,1,0
"karna mereka prihatin dengan para pekerja yang bekerja di sebuah pabrik pakaian ,karna pabrik pakaian tersebut sudah ingin bangkrut",7,6
KARENA MENYUMBANG ITU HARUS DI LAKUKAN KARENA WAJIB DAN AKAN MENDAPATKAN YANG LEBIH UNTUK ORANG YANG MENYUMBANG,7,6
mereka memilih untuk menyumbang karena mereka ingin memakai pakaian yang ber etika,5,5
"? karena kegiatan menyumbang lebih utama dan termasuk hal yang diwajibkan untuk orang ada,sedangkan membeli pakaian tidak terlalu perlu asal kita sudah mempunyai pakaian yang cukup",9,8
karena orang orang masih peduli terhadap sesama,8,8
karena kondisi di sebuah pabrik pakaian yang sangat mengejutkan,6,4
karena dari pada dibuang lebih baik disumbangkan ke masyarakat yang tidak mampu [miskin],5,2
karena mungkin mereka sadar bahwa banyak orang yang penghasilan nya sedikit dan kerja banting tulang hanya untuk makan sehari-hari.,7,8
karena menyumbang itu lebih bermanfaat dari pada di buang,4,2
karena dari pada pakaian di buang lebih baik di sumbangkan,4,2
karena menyumbang itu sama denga sodaqoh juga itu bagi yg mampu dan hatinya ikhlas,7,7
"karna kondisi pekerja sangat memungkinkan,",3,1
karna sebagai upaya untuk membuat produksi pakaian menjadi lebih beretika,3,3
karna menyumbang suatu hal yang sangat bagus dan membarikan amal,7,6
karena lebih banyak konsumen yang menyumbang akan menjadi hemat dengan masalah keuangan dan akan membuat produksi pakaian menjadi lebih beretika.,5,7
karena mengetahui kondisi kerja di sebuah pabrik pakaian,6,7
karena pakaian yang tidak dipakai lagi lebih baik disumbangkan dari pada dibuang di tempat sampah.,2,2
karena dia tidak mau bererja,0,0
karena jika banyak yang tidak terpakai akan mubasir,5,6
karena t sebagai upaya untuk membuat produksi pakaian menjadi lebih beretika.,5,3
karena yang tak terpakai lebih beretika,0,0
Karena lebih yakin dalam menyumbangkan uangnya setelah melihat gambar yang ditampilkan perusahaan tersebut,8,9
karena kalo sumumbangkan lebih berguna ketika dibuang begtu saja maka dari itu orang memilih lebh banyak disumbangkan,5,4
karena melihat kondisi kerja yang buruk di sebuah pabrik para konsumen lebih memilih menyumbang daripada membelinya dengan harga 2 Euro.,10,8
karena konsumen lebih memilih membuat prodeuksi pakaian lebih beretika daripada harus melanjutkan pembelian,6,6
karena menyumbang dapat membantu pakir miskin yang sangat membutuhkan dan mendapat pahala,6,7
"ksarena dengan menyumbang, kita dapat membantu pabrik yang telah dalam masalah tersebut, agar dapat beroperasi dengan baik lagi",4,3
untuk membuat toko tersebut lebih bagus lagi dan lebih complete,1,0
karena bnyak yang membutuh kan,5,7
Karena membuat produksi pakaian menjadi lebih beretika.,5,4
karena dapat bermanfaat bagi sesama dan sesuai dengan etika pakaian sehingga dapat mengurangi smapah lingkungan dan polusi,6,7
sebagai upaya untuk membuat produksi pakaian menjadi lebih beretika,5,4
karena mungkin menurut mereka lebih jika disumbang untuk membuat produksi pakaian menjadi lebih beretika daripada membeli dipabrik pakaian yang tidak berprinsip pakaian beretika,5,4
karena itu akan membantu para masyarakat yang kekurangan pakaian dan lebih bermanfaat daripada membuangnya secara cuma cuma,6,5
karna sudah bosan dipakai dan lebih baik dipakai dengan orang lain,0,0
karena mereka ingin upaya untuk membuat produksi pakaian menjadi lebih beretika,5,4
"karena mereka melihat tentang kondisi kerja di sebuah pabrik pakaian,sehingga mereka berpikir dengan menyumbang mereka dapat memperbaiki keadaan tersebut",8,9
karena harga pakaian termasuk kategori murah dan mereka mengetahui kondisi kerja di sebuah pabrik terseebut,7,8
upaya untuk membuat produksi pakaian menjadi lebih beretika.,5,4
agar pabrik pakaian semakin baik dan dapat memproduksi pakaian yang baik pula untuk mereka.,6,6
Agar pakaiannya bisa berguna bagi orang yang membutuhkan daripada harus dibuang lebih baik disumbangkan,4,4
mereka kasihan dengan kondisi pabrik pakaian,6,5
karena menurut mereka jika mereka bisa menyumbangkan 2 euro tersebut mereka berharap kondisi parik tersebut bisa diperbaiki,6,6
karena dengan menyumbang kita akan mendapat pahala dan lebih bermanfaat,7,8
agar pakaian bisa dibuat sesuai etika,2,3
"karena Setelahnya, konsumen diberi pilihan apakah akan melanjutkan pembelian atau menyumbangkan 2 Euro tersebut sebagai upaya untuk membuat produksi pakaian menjadi lebih beretika.",4,1
karena mungkin mereka hanya peduli pada orang yang lebih membutuhkan dan karena mungkin sebagian orang tidak mampu,8,8
karna kasihan terhadap kondisi para pekerja,6,7
"karna lebih baik menyumbang daripada yang disumbang,menyumbang kita dapat pahala atau rizki dari allah",6,7
karna untuk sedekah,4,6
dikarenakan kondisi pabrik pembuat pakaian yang mengejutkan,5,3
membuat produksi pakaian menjadi lbih beretika,5,4
krena mungkin kekecilan /kebesaran,0,1
mereka memiliki rasa kepedulian terhadap sesama.,7,7
tren Fast Fashion dan membeli pakaian yang lebih awet dan dibuat sesuai etika.,0,0
karena jauh lebih bermanfaat bagi orang-orang yg membutuhkannya,7,8
Karena apabila pakainan tersebut di buang akan menjadi limbah oleh sebab itu apabila mempunyai pakaian yang sudah tidak di pakai lagi lebih baik di sumbangkan,2,1
karena masyarakat akan lebih memilih untuk membeli pakaian yang beretika,2,1
karena menampilkan gambar yang mengejutkan tentang kondisi kerja di sebuah pabrik pakaian membuat pembeli merasa kasian dan berniat untuk menyumbang,8,9
karena menyumbang merupakan kegiatan amal yang dapat bermanfaat bagi banyak orang,7,7
Mengurangi sampah lingkungan dan polusi;,0,0
karena menolak harga yg terlalu tinggi,0,0
tampilan kondisi kerja pada pabrik,5,6
karena akan bermanfaat bagi yg membutuhkan,7,7
"karena,orang-orang tersebut bersimpati tentang kondisi kerja di sebuah pabrik pakaian.",7,7
karena konsumen melihat kondisi kerja pabrib yang kurang layak,7,7
"karena mereka menyumbangkan semua pakaiannya beralasan karena pakaian itu sudah tak suka lagi di pakai,sehingga mereka menyumbangkannya",3,1
"karena di luar sana masih banyak yang membutuhkan, sehingga tidak sepenuhnya sumbangan tersebut digunakan untuk pakaian saja. tapi juga untuk yg lain",6,4
karena sebagai upaya untuk membuat produksi pakaian menjadi lebih beretika,5,4
tentang kondisi kerja di sebuah pabrik pakaian sebagai upaya untuk membuat produksi pakain menjadi beretika,6,6
karena agar pabrik membuat atau memproduksi pakaian menjadi lebih beretika dan memastikan bahwa pekerja mendapatkan upah yg layak,7,8
karena ada istilah lebih baik memberi aripada menerima,3,5
untuk mengurangi penggunan air,0,0
karena menyumbang itu bagus dan mendapatkan pahala,5,5
karena mereka melihat tampilan gambar tentang kondisi kerja di sebuah pabrik pakaian yang mungkin menentang prinsip produksi pakaian yang beretika,7,7
karena masyarakat lebih suka berbagi satu sama lain dan saling peduli satu sama lain,6,7
memilih,0,0
karena pakaian tersebut sudah tidak layak untuk dipakai da tidak beretika dengan baik,2,2
karna perbuatan menyumbang untuk orang yang tidak mampu itu sangat mulia dan banyak mendapatkan pahala,6,6
"menurut saya, kebanyakkan orang menyumbang karena orang-orang itu ingin memproduksi pakaian yang baru.",5,5
"9/10 orang memilih menyumbang karena kondisi pakaian yang ingin mereka pakai bukan seperti yang diinginkan mereka setelah melihat layar tersebut, bisa jadi banyaknya bahan kimia yang digunakan dalam pembuatan pakaian yang akan mengganggu konsumen dalam pemakaiannya seperti gangguan kesehatan dan pakaian yang tidak tahan lama.",9,8
KARENA PRIHATIN MELIHAT KEADAAN PARA PEKERJA PABRIK,7,7
Karena pakaian yang dibeli merupakan fast fashion yang tidak dapat bertahan lama sehingga kebanyakan orang memilioh untuk menyumbangkan pakaian seharga 2 euro tersebut,2,6
karna orang-orang berprihatin terhadap pabrik-pabrik yang kekurangan dana,3,5
